Image;NoisePercent;Filter;InaccuracyPercent
1foto.pgm;5;median;53.0234
1foto.pgm;5;movingAverage;68.1728
1foto.pgm;5;expMovingAverage;66.4635
1foto.pgm;10;median;53.8933
1foto.pgm;10;movingAverage;74.5581
1foto.pgm;10;expMovingAverage;73.1212
1foto.pgm;20;median;55.6928
1foto.pgm;20;movingAverage;84.3847
1foto.pgm;20;expMovingAverage;82.9593
2foto.pgm;5;median;24.4251
2foto.pgm;5;movingAverage;45.8695
2foto.pgm;5;expMovingAverage;51.2749
2foto.pgm;10;median;26.3421
2foto.pgm;10;movingAverage;57.6315
2foto.pgm;10;expMovingAverage;62.4985
2foto.pgm;20;median;29.9432
2foto.pgm;20;movingAverage;74.9178
2foto.pgm;20;expMovingAverage;77.9919
3foto.pgm;5;median;29.7916
3foto.pgm;5;movingAverage;51.5142
3foto.pgm;5;expMovingAverage;53.7258
3foto.pgm;10;median;31.3014
3foto.pgm;10;movingAverage;62.8119
3foto.pgm;10;expMovingAverage;65.3585
3foto.pgm;20;median;34.507
3foto.pgm;20;movingAverage;78.4888
3foto.pgm;20;expMovingAverage;80.6533
4foto.pgm;5;median;18.3337
4foto.pgm;5;movingAverage;38.0745
4foto.pgm;5;expMovingAverage;40.3093
4foto.pgm;10;median;19.6821
4foto.pgm;10;movingAverage;52.593
4foto.pgm;10;expMovingAverage;54.79
4foto.pgm;20;median;22.427
4foto.pgm;20;movingAverage;73.1833
4foto.pgm;20;expMovingAverage;74.1624
5foto.pgm;5;median;23.2001
5foto.pgm;5;movingAverage;43.1205
5foto.pgm;5;expMovingAverage;45.1552
5foto.pgm;10;median;24.2871
5foto.pgm;10;movingAverage;55.8658
5foto.pgm;10;expMovingAverage;58.216
5foto.pgm;20;median;26.9454
5foto.pgm;20;movingAverage;73.8442
5foto.pgm;20;expMovingAverage;75.6941
